Series ID,Year,Period,Label,Value,1-Month Net Change
CES5000000011,2006,M03,2006 Mar,974.43, N/A
CES5000000011,2006,M04,2006 Apr,979.16,4.73
CES5000000011,2006,M05,2006 May,986.60,7.44
CES5000000011,2006,M06,2006 Jun,991.34,4.74
CES5000000011,2006,M07,2006 Jul,986.80,-4.54
CES5000000011,2006,M08,2006 Aug,992.44,5.64
CES5000000011,2006,M09,2006 Sep,996.80,4.36
CES5000000011,2006,M10,2006 Oct,985.73,-11.07
CES5000000011,2006,M11,2006 Nov,993.83,8.10
CES5000000011,2006,M12,2006 Dec,999.97,6.14
CES5000000011,2007,M01,2007 Jan,1006.20,6.23
CES5000000011,2007,M02,2007 Feb,1011.07,4.87
CES5000000011,2007,M03,2007 Mar,1012.15,1.08
CES5000000011,2007,M04,2007 Apr,1008.36,-3.79
CES5000000011,2007,M05,2007 May,1009.87,1.51
CES5000000011,2007,M06,2007 Jun,1010.88,1.01
CES5000000011,2007,M07,2007 Jul,1013.60,2.72
CES5000000011,2007,M08,2007 Aug,1014.05,0.45
CES5000000011,2007,M09,2007 Sep,1010.16,-3.89
CES5000000011,2007,M10,2007 Oct,1019.10,8.94
CES5000000011,2007,M11,2007 Nov,1025.18,6.08
CES5000000011,2007,M12,2007 Dec,1009.56,-15.62
CES5000000011,2008,M01,2008 Jan,1035.51,25.95
CES5000000011,2008,M02,2008 Feb,1035.78,0.27
CES5000000011,2008,M03,2008 Mar,1041.35,5.57
CES5000000011,2008,M04,2008 Apr,1050.35,9.00
CES5000000011,2008,M05,2008 May,1042.08,-8.27
CES5000000011,2008,M06,2008 Jun,1030.66,-11.42
CES5000000011,2008,M07,2008 Jul,1056.64,25.98
CES5000000011,2008,M08,2008 Aug,1057.37,0.73
CES5000000011,2008,M09,2008 Sep,1059.16,1.79
CES5000000011,2008,M10,2008 Oct,1058.00,-1.16
CES5000000011,2008,M11,2008 Nov,1042.90,-15.10
CES5000000011,2008,M12,2008 Dec,1061.36,18.46
CES5000000011,2009,M01,2009 Jan,1051.93,-9.43
CES5000000011,2009,M02,2009 Feb,1054.14,2.21
CES5000000011,2009,M03,2009 Mar,1045.77,-8.37
CES5000000011,2009,M04,2009 Apr,1051.23,5.46
CES5000000011,2009,M05,2009 May,1068.36,17.13
CES5000000011,2009,M06,2009 Jun,1069.80,1.44
CES5000000011,2009,M07,2009 Jul,1084.42,14.62
