"Date","t","A_t"
2023-01-01,0,2212.1
2023-02-01,1,2334.95423322027
2023-03-01,2,2464.6314683935
2023-04-01,3,2601.51063715623
2023-05-01,4,2745.99171601442
2023-06-01,5,2898.49689512032
2023-07-01,6,3059.47181196012
2023-08-01,7,3229.38685355742
2023-09-01,8,3408.7385309976
2023-10-01,9,3598.05093028972
2023-11-01,10,3797.87724380549
2023-12-01,11,4008.80138677028
2024-01-01,12,4231.43970352993
2024-02-01,13,4466.44276857897
2024-03-01,14,4714.49728761336
2024-04-01,15,4976.3281041627
2024-05-01,16,5252.70031766543
2024-06-01,17,5544.4215191765
2024-07-01,18,5852.34415124033
2024-08-01,19,6177.36799882487
2024-09-01,20,6520.4428185957
2024-10-01,21,6882.57111421307
2024-11-01,22,7264.81106576166
2024-12-01,23,7668.27962187317
2025-01-01,24,8094.15576357736
2025-02-01,25,8543.68394941874
2025-03-01,26,9018.17775190605
2025-04-01,27,9519.02369592056
2025-05-01,28,10047.6853102996
2025-06-01,29,10605.7074044343
2025-07-01,30,11194.7205823785
2025-08-01,31,11816.4460076591
2025-09-01,32,12472.7004327121
2025-10-01,33,13165.4015076395
2025-11-01,34,13896.5733838016
2025-12-01,35,14668.352628617
