date,employment,value_added,wage_real,A
2023-01-01,3062,1439.8,1753.53,2212.1
2023-02-01,3052,1439.8,1747.93,2334.95423322027
2023-03-01,3056,1439.8,1754.12,2464.6314683935
2023-04-01,3050,1472.7,1747.26,2601.51063715623
2023-05-01,3035,1472.7,1749.91,2745.99171601442
2023-06-01,3024,1472.7,1763.68,2898.49689512032
2023-07-01,3001,1516.7,1759.58,3059.47181196012
2023-08-01,2975,1516.7,1771.88,3229.38685355742
2023-09-01,2973,1516.7,1767.33,3408.7385309976
2023-10-01,2947,1535.9,1770.13,3598.05093028972
2023-11-01,2952,1535.9,1785.23,3797.87724380549
2023-12-01,2962,1535.9,1783.78,4008.80138677028
2024-01-01,2966,1553.3,1788.7,4231.43970352993
2024-02-01,2963,1553.3,1801.45,4466.44276857897
2024-03-01,2959,1553.3,1808.41,4714.49728761336
2024-04-01,2952,1580.9,1795.98,4976.3281041627
2024-05-01,2953,1580.9,1810.24,5252.70031766543
2024-06-01,2953,1580.9,1820.85,5544.4215191765
2024-07-01,2936,1610.2,1832.06,5852.34415124033
2024-08-01,2929,1610.2,1844.91,6177.36799882487
2024-09-01,2929,1610.2,1849.68,6520.4428185957
2024-10-01,2922,1626.4,1915.06,6882.57111421307
2024-11-01,2927,1626.4,1886.38,7264.81106576166
2024-12-01,2944,1626.4,1883.38,7668.27962187317
2025-01-01,2940,1633.8,1896.66,8094.15576357736
2025-02-01,2940,1633.8,1909.17,8543.68394941874
2025-03-01,2938,1633.8,1908.05,9018.17775190605
2025-04-01,2939,1666.3,1922.15,9519.02369592056
2025-05-01,2941,1666.3,,
2025-06-01,2938,1666.3,,
2025-07-01,2932,,,
2025-08-01,2925,,,
2025-09-01,2925,,,
